feature,score
ap_hi,0.4529070431848598
ap_lo,0.36418122239768175
age_years,0.24174574834100507
age,0.2407868726191389
cholesterol,0.21659918299015476
weight,0.18287787503787653
gluc,0.0955238520425679
active,-0.03268574851391501
smoke,-0.016533434985483274
height,-0.016263321814983665
alco,-0.009548685316059891
gender,0.006313167921324664
id,0.002444353373532914
