module_index,module_name,mean_weighted_all,mean_pct_all,mean_weighted_pos(cardio=1),mean_weighted_neg(cardio=0),mean_pct_pos(cardio=1),mean_pct_neg(cardio=0)
1,Module_1,0.08357505,0.23194583,0.20081839,-0.033534363,0.22846459,0.23542313
2,Module_2,-0.21468982,0.5705744,0.24094391,-0.6698031,0.54716325,0.5939588
3,Module_3,0.12544279,0.0984385,0.19515033,0.055814885,0.12583339,0.0710749
4,Module_4,0.094788924,0.099041246,0.0985843,0.09099788,0.09853878,0.09954317
