feature,score
ap_hi,0.12022946062798878
ap_lo,0.07654599170110865
age,0.0334236947116715
age_years,0.03336934518276813
cholesterol,0.03259937524675571
weight,0.015935314848310345
active,0.006337260935473266
gluc,0.005603455332915397
gender,0.0012490565393943331
smoke,0.0012080812348056469
id,0.0008401670423883179
height,0.000479283532728525
alco,0.0
