epoch,train_loss,train_acc,val_loss,val_acc
1,0.6540709625944799,0.6482040816326531,0.6295070377985637,0.6561904761904762
2,0.6085249008256562,0.676469387755102,0.5920039335432506,0.6923809523809524
3,0.5699670378431982,0.717204081632653,0.5618699783143543,0.7228571428571429
4,0.5526888583290334,0.7301428571428571,0.557901181379954,0.7214285714285714
5,0.5494845741233048,0.731,0.5557725128446307,0.7229523809523809
6,0.5488133622383585,0.7321428571428571,0.5554288492429824,0.7227619047619047
7,0.5482381297325601,0.7316734693877551,0.5553252679734003,0.7229523809523809
8,0.5481144065273051,0.7321020408163266,0.5549488751547678,0.7233333333333334
9,0.547923697325648,0.7318571428571429,0.5549334612573896,0.7233333333333334
10,0.5478685541347581,0.7314897959183674,0.5547523469697861,0.7229523809523809
11,0.5476957557541984,0.732,0.5556759241649083,0.7233333333333334
12,0.5477346972932621,0.7313673469387755,0.5546104363941011,0.7221904761904762
13,0.5475850677976802,0.7323469387755102,0.5547320668356759,0.7247619047619047
14,0.5474201977593558,0.7321836734693877,0.5541974252746219,0.7225714285714285
15,0.5473612317357744,0.731938775510204,0.5541315485182262,0.7233333333333334
16,0.5472559319612931,0.732,0.5540817070688521,0.7227619047619047
17,0.5470028296684732,0.7327551020408163,0.5539595442499433,0.7233333333333334
18,0.5469240283674124,0.7321020408163266,0.5546514622370402,0.7243809523809523
19,0.546950475863048,0.7328367346938776,0.5539248484202793,0.7240952380952381
20,0.5468810248082998,0.7320612244897959,0.5538868114153545,0.7235238095238096
21,0.5468742913324006,0.7333061224489796,0.5539872114090693,0.723047619047619
22,0.5467277240753173,0.7338163265306122,0.5539405746914091,0.7239047619047619
23,0.5467017029548178,0.7324489795918367,0.5540620370819455,0.7235238095238096
24,0.5467468131707639,0.7329183673469388,0.5544177503585815,0.7247619047619047
25,0.5466627189480529,0.7336326530612245,0.5536875106720698,0.7241904761904762
26,0.546566596371787,0.7321632653061224,0.5543905824252537,0.7253333333333334
27,0.5465605747748394,0.7333877551020408,0.5542290160542442,0.7254285714285714
28,0.5464656167322276,0.7339795918367347,0.5537472241719564,0.7231428571428572
29,0.5463794079118846,0.733,0.553718961534046,0.7247619047619047
30,0.5463781923079977,0.7332448979591837,0.5536442707606725,0.724
31,0.5463359433874792,0.7328979591836735,0.554314924785069,0.7256190476190476
32,0.5464096908374708,0.7338163265306122,0.554223572254181,0.7255238095238096
33,0.5465062887425325,0.7327959183673469,0.5537288360595704,0.7233333333333334
