module_index,module_name,mean_weighted_all,mean_pct_all,mean_weighted_pos(cardio=1),mean_weighted_neg(cardio=0),mean_pct_pos(cardio=1),mean_pct_neg(cardio=0)
1,Module_1,0.06294326,0.2326582,0.18095736,-0.054936055,0.22805843,0.23725273
2,Module_2,-0.23274589,0.58269167,0.22750589,-0.692472,0.55704814,0.60830593
3,Module_3,0.14929692,0.09452136,0.22138092,0.07729529,0.12459476,0.06448231
4,Module_4,0.08364359,0.09012872,0.087295726,0.07999563,0.090298675,0.08995896
