module_index,module_name,mean_weighted_all,mean_pct_all,mean_weighted_pos(cardio=1),mean_weighted_neg(cardio=0),mean_pct_pos(cardio=1),mean_pct_neg(cardio=0)
1,Module_1,0.07303404,0.22208005,0.19755283,-0.049009148,0.21213947,0.23182303
2,Module_2,-0.03264074,0.5634461,0.42681125,-0.48295823,0.5668002,0.56015867
3,Module_3,-0.0027607249,0.15355626,0.06885297,-0.07295063,0.16423444,0.14309037
4,Module_4,0.049366917,0.060917564,0.051887706,0.046896253,0.056825873,0.06492791
