feature,score
age,0.24419113608104043
age_years,0.2439481435918625
cholesterol,0.22285642558724275
weight,0.18218533909928938
gluc,0.09338729371889973
ap_lo,0.06566984707531538
ap_hi,0.04990388437593452
active,-0.03268574851391497
smoke,-0.016533434985483344
height,-0.013642632275964371
alco,-0.00954868531605978
gender,0.006313167921324696
id,0.0024548492874437236
